-999,-999,-999,1,8,3,1,0,2,76,81,41,44,57,51,52,82,82,59,52,18,15,16,8,4,4,3,3,5,7,6,8
-999,-999,-999,W,W,WNW,WNW,W,W,SW,WSW,W,W,WSW,SW,SW,WSW,SSW,N,N,N,NNE,NNE,NNE,NNE,N,N,N,NNW,WNW,SW,SE
-999,-999,-999,11,16,16,13,11,13,20,18,16,13,13,13,11,11,11,11,13,18,22,22,22,20,16,13,11,11,11,11,13
-999,-999,-999,-3,4,3,1,-1,-2,-1,-1,-1,2,3,2,2,2,1,1,0,1,1,0,-1,-2,-2,-2,-2,1,2,1,1
-999,-999,-999,95,70,67,73,78,82,82,93,90,83,79,85,91,92,94,93,91,83,80,82,87,89,89,90,90,80,79,90,91
-999,-999,-999,4,9,11,7,4,4,9,9,7,9,7,7,7,7,4,4,7,11,13,11,13,11,9,9,7,7,7,7,7
-999,-999,-999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
-999,-999,-999,0,7,6,4,2,1,2,2,2,5,6,4,4,4,3,3,3,3,4,3,2,2,1,1,0,3,4,2,2
-999,-999,-999,3,1,3,0,0,0,9,15,10,10,14,12,7,15,15,12,12,7,3,7,0,0,0,0,1,7,7,7,7
-999,-999,-999,MO,GO,VG,GO,VG,VG,VG,MO,MO,VG,GO,GO,GO,MO,MO,MO,GO,GO,GO,GO,GO,GO,GO,GO,GO,VG,VG,GO,GO
-999,-999,-999,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260
