-999,-999,-999,1,33,31,36,0,0,5,37,29,33,13,6,12,42,69,59,60,52,20,17,16,9,5,3,2,5,5,6,10
-999,-999,-999,NW,W,NW,NW,NW,WSW,SSW,SW,SW,WSW,W,SW,WSW,SSW,W,NNW,NNE,NNE,NNE,N,N,N,N,N,NNW,NNW,WNW,WNW,SSW
-999,-999,-999,13,18,18,20,16,11,16,18,11,13,11,9,9,9,13,13,18,20,25,22,22,20,16,13,11,11,11,7,9
-999,-999,-999,1,3,4,0,-1,-2,-2,-1,0,3,4,3,2,2,1,1,-1,0,0,-1,-2,-3,-4,-3,-2,1,2,0,0
-999,-999,-999,92,79,74,85,81,83,78,87,90,80,80,85,88,93,93,94,94,88,85,87,90,92,93,93,92,81,80,91,92
-999,-999,-999,4,11,9,7,7,4,7,7,4,7,7,4,4,4,7,7,9,11,13,13,13,11,9,9,7,7,7,4,4
-999,-999,-999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
-999,-999,-999,3,7,6,3,2,0,0,2,2,5,5,4,4,3,4,3,3,4,4,2,1,1,0,0,0,3,3,1,1
-999,-999,-999,3,3,20,9,0,0,2,9,3,10,7,7,7,12,12,12,18,12,7,7,7,0,2,0,3,7,7,7,7
-999,-999,-999,GO,GO,VG,VG,VG,VG,VG,VG,GO,VG,VG,VG,GO,GO,GO,MO,MO,GO,GO,GO,GO,GO,GO,GO,GO,VG,VG,GO,GO
-999,-999,-999,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260
