-999,-999,-999,5,1,5,29,1,1,1,55,52,7,8,5,6,62,70,53,58,56,22,54,53,16,10,7,6,5,7,6,6
-999,-999,-999,SW,WSW,WNW,NW,WNW,W,SW,SW,SW,WSW,WSW,SW,SW,SSW,SW,W,N,NNW,N,N,N,N,N,NNW,NNW,NNW,NW,WNW,WNW
-999,-999,-999,20,13,16,16,16,18,18,20,20,18,18,16,13,13,11,9,11,16,16,18,16,16,13,13,11,13,11,9,9
-999,-999,-999,0,3,3,0,-2,-4,-4,-3,-3,-1,1,0,0,0,0,0,-1,-1,-1,-2,-2,-3,-3,-4,-3,-1,0,-2,-3
-999,-999,-999,89,85,72,77,85,85,85,77,91,85,82,90,93,95,96,96,96,91,89,91,94,93,94,94,93,86,86,93,95
-999,-999,-999,7,7,9,7,7,7,7,9,11,11,9,7,7,7,4,4,7,9,9,9,9,9,9,9,7,7,7,4,4
-999,-999,-999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
-999,-999,-999,3,5,6,3,1,0,-1,1,1,3,4,3,2,2,2,2,1,2,3,2,1,1,0,0,0,2,2,1,0
-999,-999,-999,7,3,1,0,0,0,0,24,24,7,7,7,7,12,12,12,24,24,7,24,24,7,2,2,1,3,7,7,7
-999,-999,-999,GO,GO,VG,VG,VG,VG,GO,VG,GO,GO,VG,GO,GO,MO,MO,MO,PO,MO,MO,GO,GO,GO,GO,GO,GO,GO,GO,GO,GO
-999,-999,-999,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260
